country	sample	age	period	type	longitude	latitude	data	color
EURw2_DE	DMeC04	0	present	present	6.679	51.259	chip	NA
HZ	HF_73805	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73807	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73817	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73818	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73819	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73820	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73822	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73823	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73825	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73827	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73829	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73831	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73832	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73833	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73834	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73835	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73836	0	present	present	15.439504	47.070714	chip	NA
HZ	HF_73838	0	present	present	15.439504	47.070714	chip	NA
HZ	HF13570	0	present	present	15.439504	47.070714	chip	NA
HZ	HF13571	0	present	present	15.439504	47.070714	chip	NA
HZ	HF13573	0	present	present	15.439504	47.070714	chip	NA
HZ	IT01.b	0	present	present	12.46	41.91	chip	NA
HZ	IT02	0	present	present	12.46	41.91	chip	NA
HZ	IT04	0	present	present	12.46	41.91	chip	NA
HZ	IT06	0	present	present	12.46	41.91	chip	NA
HZ	IT07	0	present	present	12.46	41.91	chip	NA
HZ	IT08	0	present	present	12.46	41.91	chip	NA
HZ	IT09	0	present	present	12.46	41.91	chip	NA
HZ	IT10	0	present	present	12.46	41.91	chip	NA
HZ	IT11gg.IT03	0	present	present	12.46	41.91	chip	NA
HZ	IT12	0	present	present	12.46	41.91	chip	NA
HZ	IT13gg.IT05	0	present	present	12.46	41.91	chip	NA
HZ	IT14	0	present	present	12.46	41.91	chip	NA
EURe1_PL	P04_PWaH6aL	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P06_PWaH11aL	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P07_PWa14aL	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P08_PWa16aL	0	present	present	21.012	52.229	chip	NA
EURe1_PL	P09_PWa17aL	0	present	present	21.012	52.229	chip	NA
EURn1_SE	S02_Sup09	0	present	present	17.643	59.858	chip	NA
EURn1_SE	S04_SUp24	0	present	present	17.643	59.858	chip	NA
EURn1_SE	S06_Sup37	0	present	present	17.643	59.858	chip	NA
EURn1_SE	S07_SUp43_4	0	present	present	17.643	59.858	chip	NA
EURn1_SE	S09_SUp51	0	present	present	17.643	59.858	chip	NA
EURn1_SE	SUp59	0	present	present	17.643	59.858	chip	NA
EURn1_SE	SUp60	0	present	present	17.643	59.858	chip	NA
EURn1_SE	SUp65	0	present	present	17.643	59.858	chip	NA
